2579,F03,I10
2566,C61,I469
2559,N179,J960
2550,A419,N179
2546,E119,I500
2543,R99,A419
2520,E149,I251,I469
2511,W18,S099
2507,W80,J969
2505,I251,F03
2500,X42,T405
2497,I500,R628
2496,N179,J969
2490,I350,I469
2477,V892,S099
2474,I219,I499
2472,I219,I251
2467,I10,I251,I500
2460,K631,A419
2455,I500,I48
2455,I38,I500
2450,I10,I509
2440,F03,E86
2431,I64,J189
2416,E149,I64
2413,J189,J969,I469
2413,I48,J969
2404,I10,J189
2398,N189,I251
2392,R090,I469
2385,J449,J189,J969
2385,E119,I219
2378,J449,I10
2373,I48,J449
2371,N179,J189
2370,T424,T402
2366,I64,R092
2355,F102,K746
2345,I10,G309
2342,B182,K729
2321,E149,A419
2316,F179,C349
2309,J449,R090
2298,G20,F03
2289,E149,N189
2280,J960,A419
2259,I251,R628
2259,I272,I500
2258,J189,R688
2256,A419,A419
2248,J969,R068
2241,I251,A419
2215,I64,R628
2209,E149,J449
2206,I500,N179
2199,I739,A419
2191,C787,C189
2180,I509,J969
2176,R628,J969
2174,T179,J969
2171,N390,J189
2163,K746,K769
2155,J189,J80
2150,N179,I500
2141,J449,J441
2112,K729,I469
2107,I48,I219
2106,I48,I10
2106,I469,R092
2104,I500,N19
2102,I119,I219
2101,L899,A419
2096,J449,R628
2093,I490,I469
2093,I119,I251
2084,S199,S099
2084,I48,J189
2077,F03,I64
2075,I469,I469
2070,I519,I469
2066,D649,I469
2066,C349,A419
2057,K746,A419
2056,I959,I469
2054,I251,I251
2038,G309,J969
2037,R570,I469
2032,R13,J189
2027,W80,T179,J969
2012,B182,K769
2000,J449,J961,J960
1992,A499,A419
1988,J449,J969,I469
1987,R54,I469
1983,E86,I469
1983,F101,K746
1980,X44,T402
1979,J90,J969
1975,I251,I255,I500
1973,G20,I469
1965,X73,S019
1963,F171,J449
1957,F03,J449
1951,C509,J969
1949,I10,I429
1948,K746,K922
1934,R628,R092
1914,K566,A419
1908,T099,S099
1905,G20,J690
1901,I219,I219
1896,R54,R628
1885,S069,S099
1880,F03,R64
1868,I251,G931
1862,N185,J969
1861,N185,I500
1860,J189,A419,J969
1849,N19,J189
1848,C80,C189
1839,F03,G20
1834,I500,I10
1831,J189,I219
1831,W19,S065
1827,C795,C787
1823,C780,C787
1819,E785,I10,I251
1805,V892,T149
1803,J439,J969
1799,E149,I251,I219
1776,I269,J969
1773,B182,C220
1769,I739,I469
1769,I10,I694
1764,I739,I251
1756,X64,T509
1756,G20,R628
1752,J969,J449
1742,E119,N185
1740,F03,R628,I469
1731,T179,I469
1718,I500,J81
1716,S299,S099
1706,S099,S065
1705,I10,E149,I469
1703,E872,I469
1699,W69,T751
1696,F03,R688
1688,G309,F03
1688,C349,J449
1687,I251,I249
1683,J449,J690
1678,A419,I219
1674,I694,I469
1669,I251,J960
1668,E149,I10,I469
1667,I10,N179
1659,C80,C509
1659,R13,J969
1656,C795,C509
1652,F03,W80
1644,W79,T179
1631,X42,T403
1629,I219,A419
1628,R02,A419
1626,R13,R628
1625,K659,A419
1622,I64,R13
1620,I251,I500,J969
1617,N390,A419,I469
1616,J189,R090
1615,I251,I499,I469
1613,W80,I469
1608,I251,I219,R570
1607,J690,R092
1602,J439,J449
1599,R628,J189
1599,I64,A419
1594,I219,R092
1594,K769,I469
1592,F03,N390
1591,X95,S219
1586,I516,I469
1584,I10,I461
1584,X42,T406
1583,J189,C349
1573,I219,G931
1572,I251,N185
1571,I250,I499
1566,E149,J969
1560,N185,I251
