A157,R75,,,0
A157,Y632,,,0
A157,Y842,,,0
A158,A158,A199,,0
A158,B200,B24,,0
A158,C000,C969,,0
A158,D800,D899,,0
A158,R75,,,0
A158,Y632,,,0
A158,Y842,,,0
A159,A159,A199,,0
A159,B200,B24,,0
A159,C000,C969,,0
A159,D800,D899,,0
A159,R75,,,0
A159,Y632,,,0
A159,Y842,,,0
A160,A160,A199,,0
A160,B200,B24,,0
A160,C000,C969,,0
A160,D800,D899,,0
A160,R75,,,0
A160,Y632,,,0
A160,Y842,,,0
A161,A161,A199,,0
A161,B200,B24,,0
A161,C000,C969,,0
A161,D800,D899,,0
A161,R75,,,0
A161,Y632,,,0
A161,Y842,,,0
A162,A150,A199,,0
A162,B200,B24,,0
A162,C000,C969,,0
A162,D800,D899,,0
A162,R75,,,0
A162,Y632,,,0
A162,Y842,,,0
A163,A150,A199,,0
A163,B200,B24,,0
A163,C000,C969,,0
A163,D800,D899,,0
A163,R75,,,0
A163,Y632,,,0
A163,Y842,,,0
A164,A150,A199,,0
A164,B200,B24,,0
A164,C000,C969,,0
A164,D800,D899,,0
A164,R75,,,0
A164,Y632,,,0
A164,Y842,,,0
A165,A150,A199,,0
A165,B200,B24,,0
A165,C000,C969,,0
A165,D800,D899,,0
A165,R75,,,0
A165,Y632,,,0
A165,Y842,,,0
A167,A150,A199,,0
A167,B200,B24,,0
A167,C000,C969,,0
A167,D800,D899,,0
A167,R75,,,0
A167,Y632,,,0
A167,Y842,,,0
A168,A150,A199,,0
A168,B200,B24,,0
A168,C000,C969,,0
A168,D800,D899,,0
A168,R75,,,0
A168,Y632,,,0
A168,Y842,,,0
A169,A150,A199,,0
A169,B200,B24,,0
A169,C000,C969,,0
A169,D800,D899,,0
A169,R75,,,0
A169,Y632,,,0
A169,Y842,,,0
A1690,A150,A199,,0
A1690,B200,B24,,0
A1690,C000,C969,,0
A1690,D800,D899,,0
A1690,R75,,,0
A1690,Y632,,,0
A1690,Y842,,,0
A170,A150,A199,,0
A170,B200,B24,,0
A170,C000,C969,,0
A170,D800,D899,,0
A170,R75,,,0
A170,Y632,,,0
A170,Y842,,,0
A171,A150,A199,,0
A171,B200,B24,,0
A171,C000,C969,,0
A171,D800,D899,,0
A171,R75,,,0
A171,Y632,,,0
A171,Y842,,,0
A178,A150,A199,,0
A178,B200,B24,,0
A178,C000,C969,,0
A178,D800,D899,,0
A178,R75,,,0
A178,Y632,,,0
A178,Y842,,,0
A179,A150,A199,,0
A179,B200,B24,,0
A179,C000,C969,,0
A179,D800,D899,,0
A179,R75,,,0
A179,Y632,,,0
A179,Y842,,,0
A180,A150,A199,,0
A180,B200,B24,,0
A180,C000,C969,,0
A180,D800,D899,,0
A180,R75,,,0
A180,Y632,,,0
A180,Y842,,,0
A181,A150,A199,,0
A181,B200,B24,,0
A181,C000,C969,,0
A181,D800,D899,,0
A181,R75,,,0
A181,Y632,,,0
A181,Y842,,,0
A182,A150,A199,,0
A182,B200,B24,,0
A182,C000,C969,,0
A182,D800,D899,,0
A182,R75,,,0
A182,Y632,,,0
A182,Y842,,,0
A183,A150,A199,,0
A183,B200,B24,,0
A183,C000,C969,,0
A183,D800,D899,,0
A183,R75,,,0
A183,Y632,,,0
A183,Y842,,,0
A184,A150,A199,,0
A184,B200,B24,,0
A184,C000,C969,,0
A184,D800,D899,,0
A184,R75,,,0
A184,Y632,,,0
A184,Y842,,,0
A185,A150,A199,,0
A185,B200,B24,,0
